Unique_Investment_Identifier,Business_Case_ID,Agency_Name,Investment_Title,Project_ID,Project_Name,Project_Description,Start_Date,Completion_Date_(B1),Planned_Project_Completion_Date_(B2),Projected/Actual_Project_Completion_Date_(B2),Lifecycle_Cost,Schedule_Variance_(in_days),Schedule_Variance_percentage,Cost_Variance_($M),Cost_Variance_percentage,Planned_Cost_($M),Projected/Actual_Cost_($M),Updated_Date,Updated_Time
012-000002575,115,Department of Labor(12),OASAM - Departmental E-Business Suite (DEBS),86,Security,,,,,,,0,0,0,0,0.11,0.11,14/05/2012,05:35:15
012-000002575,115,Department of Labor(12),OASAM - Departmental E-Business Suite (DEBS),87,Training,,,,,,,0,0,0,0,0.0924,0.0924,11/08/2012,11:45:27
012-000002575,115,Department of Labor(12),OASAM - Departmental E-Business Suite (DEBS),88,Documentation,,,,,,,0,0,0,0,0.0725,0.0725,11/08/2012,11:45:27
012-000002575,115,Department of Labor(12),OASAM - Departmental E-Business Suite (DEBS),89,Agency Deployment,,,,,,,0,0,0,0,0.13,0.13,15/09/2011,09:41:04
012-000002575,115,Department of Labor(12),OASAM - Departmental E-Business Suite (DEBS),90,Managed Services,,,,,,,0,0,0,0,0.12,0.12,15/09/2011,09:41:04
012-000003225,116,Department of Labor(12),OASAM - HSPD-12,92,Identity Asset Management (IAM) Development and Modernization Effort-Design & HW Acquisition-20,,,,,,,20,16.26,0.022,13.69,0.1607,0.1387,28/10/2011,06:50:16
012-000003225,116,Department of Labor(12),OASAM - HSPD-12,93,"Identity Asset Management (IAM) Development and Modernization Effort - Base Year 1-26,27,28",,,,,,,0,0,1.00E-04,0.01,1.1425,1.1424,12/06/2012,10:58:32
012-000003225,116,Department of Labor(12),OASAM - HSPD-12,94,Identity Asset Management (IAM) Development and Modernization Effort-Infrastructure Build-21,,,,,,,-64,-58.72,0.56754,49.74,1.141,0.57346,14/12/2011,13:13:43
012-000003225,116,Department of Labor(12),OASAM - HSPD-12,95,Identity Asset Management (IAM) Development and Modernization Effort-GSS Integration-22,,,,,,,-104,-216.67,-4.20E-05,-0.05,0.0764,0.076442,14/12/2011,13:13:43
012-000003225,116,Department of Labor(12),OASAM - HSPD-12,96,Identity Asset Management (IAM) Development and Modernization Effort-CPS-23,,,,,,,-93,-90.29,0.005877,6.1,0.0964,0.090523,27/02/2012,13:46:58
012-000003225,116,Department of Labor(12),OASAM - HSPD-12,97,"Identity Asset Management (IAM) Development and Modernization Effort-Integration, Development, Testing-24",,,,,,,-91,-86.67,6.10E-05,0.04,0.1368,0.136739,27/02/2012,13:46:58
012-000003585,117,Department of Labor(12),SOL - IT Modernization,524,Matter Management Initiative,,,,,,,0,0,-312.303624,-797.33,3.949547,316.253171,11/08/2012,11:45:28
012-000003585,117,Department of Labor(12),SOL - IT Modernization,525,Evidence Management Initiative,,,,,,,0,0,0.022932,1.14,2.007189,1.984257,09/08/2012,13:11:32
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),118,DME -- H-2A Phase 1,,,,,,,-382,-104.95,-0.170561,-25.84,0.66,0.830561,15/03/2012,05:27:15
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),119,DME -- PERM Phase 1,,,,,,,-1132,-297.89,-1.177468,-98.95,1.19,2.367468,15/03/2012,05:27:15
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),120,DME -- H-2B Phase 1,,,,,,,-245,-61.87,-0.013584,-1.31,1.04,1.053584,11/08/2012,11:45:27
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),121,DME -- iCERT Portal/LCA/PW Phase 2,,,,,,,-110,-32.54,0.350293,33.68,1.04,0.689707,11/08/2012,11:45:26
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),122,Maintenance -- Database management system software upgrade,,,,,,,-251,-108.66,-0.05,-250,0.02,0.07,11/08/2012,11:45:27
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),123,Maintenance -- LCJR enhancements,,,,,,,-364,-395.65,-0.03,-150,0.02,0.05,11/08/2012,11:45:27
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),124,Maintenance - LCA enhancements,,,,,,,-273,-150,-0.03,-100,0.03,0.06,11/08/2012,11:45:27
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),125,Maintenance - Prevailing Wage enhancements,,,,,,,-273,-150,-0.03,-100,0.03,0.06,11/08/2012,11:45:27
012-000002045,121,Department of Labor(12),ETA - Foreign Labor Certification Systems (FLCS),126,H-2A/H-2B Phase 2,,,,,,,-14,-4.18,-0.885136,-88.51,1,1.885136,12/06/2012,10:58:30
012-000001010,122,Department of Labor(12),ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),14,MAINTENANCE - STORAGE AREA NETWORK UPGRADE,,,,,,,0,0,0,0,0.962,0.962,13/03/2012,12:59:57
012-000001010,122,Department of Labor(12),ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),15,MAINTENANCE - SWITCH/ROUTER UPGRADE PHASE III,,,,,,,0,0,0,0,0.254,0.254,16/02/2012,13:47:46
012-000001010,122,Department of Labor(12),ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),16,MAINTENANCE - STUDENT PC REFRESH,,,,,,,0,0,0,0,0.369,0.369,13/03/2012,12:59:57
012-000001010,122,Department of Labor(12),ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS),17,MAINTENANCE - SPAMIS MODULE UPGRADES FY12,,,,,,,0,0,0,0,1.295,1.295,14/05/2012,05:35:15
012-000002085,123,Department of Labor(12),MSHA - MSHA Standardized Information System (MSIS),71,FY11 Application Improvement Releases,,,,,,,12,5.69,0.594829,36.45,1.631924,1.037095,12/07/2012,12:42:43
012-000002085,123,Department of Labor(12),MSHA - MSHA Standardized Information System (MSIS),72,FY12 Application Improvement Releases,,,,,,,-21,-5.17,1.25768,26.52,4.743254,3.485574,12/07/2012,12:42:43
012-000002085,123,Department of Labor(12),MSHA - MSHA Standardized Information System (MSIS),73,Part-50 Conversion Project,,,,,,,-365,-240.13,0,0,0.094352,0.094352,12/07/2012,12:42:43
012-000002085,123,Department of Labor(12),MSHA - MSHA Standardized Information System (MSIS),74,Samples System Conversion & Reengineering,,,,,,,-35,-14.71,0.099107,15.49,0.639683,0.540576,12/07/2012,12:42:43
012-000002085,123,Department of Labor(12),MSHA - MSHA Standardized Information System (MSIS),75,Technical Support Services Integration,,,,,,,91,50,0.089035,53.98,0.164943,0.075908,12/07/2012,12:42:43
012-000002085,123,Department of Labor(12),MSHA - MSHA Standardized Information System (MSIS),76,Samples Rules Conversion,,,,,,,0,0,0,0,0.9,0.9,12/07/2012,12:42:43
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3003,Remigration of Fixed Assets,,,,,,,-176,-82.63,0.007309,5.95,0.122891,0.115582,11/08/2012,11:45:27
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3004,GL Data Assessment and Cleanup,,,,,,,-3,-1.7,0,0,0.519999,0.519999,12/06/2012,10:58:32
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3005,Relink Contracts,,,,,,,27,19.85,0,0,0.294937,0.294937,14/03/2012,09:35:18
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3006,Oracle Financials Upgrade (v12.06 to 12.1),,,,,,,-185,-103.35,0,0,0.111973,0.111973,14/05/2012,05:35:15
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3007,Completion of Normalization Activities (Phase 5 Closeout),,,,,,,-162,-172.34,0,0,0.251938,0.251938,11/08/2012,11:45:27
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3008,Implement Electronic Invoicing,,,,,,,-111,-41.26,0.00432,1.24,0.349498,0.345178,11/08/2012,11:45:27
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3009,WCF Automation,,,,,,,-63,-23.33,0,0,0.13518,0.13518,14/05/2012,05:35:15
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3010,Integrate PBMS with NCMFS,,,,,,,-109,-111.22,0,0,0.135178,0.135178,14/03/2012,09:35:18
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3011,Integrate NCFMS with CCR in real-time,,,,,,,-78,-60.47,0,0,0.337949,0.337949,14/03/2012,09:35:18
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3012,Data Extract Automation,,,,,,,-144,-85.71,0,0,0.122891,0.122891,11/08/2012,11:45:27
012-000001015,125,Department of Labor(12),OCFO - DOL New Core Financial Management System (NCFMS),3013,Enhance Pcard Module,,,,,,,-53,-28.19,0,0,0.335911,0.335911,11/08/2012,11:45:27
012-000000001,126,Department of Labor(12),ODEP - Disability.gov,98,Public Outreach & Awareness,,,,,,,0,0,0,0,1.0153,1.0153,13/04/2012,07:38:49
012-000000001,126,Department of Labor(12),ODEP - Disability.gov,99,Maintenance,,,,,,,0,0,0,0,0.7807,0.7807,13/04/2012,07:38:49
012-000000001,126,Department of Labor(12),ODEP - Disability.gov,100,Cloud Migration,,,,,,,0,0,0,0,0.05,0.05,16/02/2012,13:48:15
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,103,DOL Events Management Platform,,,,,,,-55,-20,0.108901,51.37,0.211988,0.103087,14/03/2012,08:09:16
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,105,Feedback Script,,,,,,,-18,-7.06,0.002105,2.17,0.0971,0.094995,21/02/2012,10:34:56
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,106,DOL Numbers Mobile App,,,,,,,-42,-62.69,0.028851,33.91,0.08507,0.056219,21/02/2012,10:34:56
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,109,Backup software upgrade,,,,,,,-158,-86.81,0,0,0.013936,0.013936,12/06/2012,10:58:32
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,110,Web Application security scanner,,,,,,,85,46.7,7.40E-04,10.57,0.007,0.00626,21/02/2012,10:34:56
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,2915,DOL Events Management Platform Phase 3,,,,,,,-125,-41.39,0.01052,8.29,0.126906,0.116386,11/08/2012,11:45:28
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,2916,ITIL - OTRS implementation,,,,,,,-68,-34.17,-0.016269,-87.27,0.018643,0.034912,12/06/2012,10:58:32
012-000002005,127,Department of Labor(12),OPA - Enterprise Communications Initiative,2917,Standards for Applications,,,,,,,-17,-16.04,0.016159,25.52,0.063317,0.047158,14/03/2012,08:09:16
012-999990020,130,Department of Labor(12),OASAM - Benefits.gov,79,FY 2012 Solution Improvements Project (Goal 2: Improve User Experience),,,,,,,0,0,0,0,0.407,0.407,21/08/2012,06:23:32
012-000002630,131,Department of Labor(12),OSHA - Information System (OIS),138,DME OSHA Information System (OIS),,,,,,,0,0,-0.005903,-0.16,3.773342,3.779245,15/05/2012,12:41:48
012-000002630,131,Department of Labor(12),OSHA - Information System (OIS),139,Maintenance-OSHA Information System (OIS),,,,,,,0,0,0,0,7.007338,7.007338,15/05/2012,12:41:48
012-000002015,132,Department of Labor(12),OWCP - Integrated Federal Employees' Compensation System (iFECS),113,ECOMP,,,,,,,-422,-1029.27,0.015206,13.65,0.111375,0.096169,14/12/2011,13:13:43
012-000002015,132,Department of Labor(12),OWCP - Integrated Federal Employees' Compensation System (iFECS),114,3CI,,,,,,,-369,-212.07,-0.124098,-199.14,0.062318,0.186416,15/11/2011,12:13:02
012-000002015,132,Department of Labor(12),OWCP - Integrated Federal Employees' Compensation System (iFECS),115,Maintenance,,,,,,,6,1.64,0.072,1.02,7.0438,6.9718,11/08/2012,11:45:28
012-000002015,132,Department of Labor(12),OWCP - Integrated Federal Employees' Compensation System (iFECS),116,ICD-10,,,,,,,0,0,0,0,0.12,0.12,12/06/2012,10:58:33
012-000002265,183,Department of Labor(12),OWCP - Energy Compensation System,111,ECS Deployment,,,,,,,-13,-13,-0.156819,-16.9,0.928,1.084819,22/02/2012,14:32:21
012-000002265,183,Department of Labor(12),OWCP - Energy Compensation System,112,ECS Maintenance Releases,,,,,,,0,0,-0.35061,-19.28,1.81809,2.1687,11/08/2012,11:45:28
012-000001055,278,Department of Labor(12),BLS - Consumer Price Index (CPI) Maintenance,1376,Maintenance - CADC Data Synchronization,,,,,,,0,0,0.215,41.75,0.515,0.3,13/03/2012,12:00:24
012-000001055,278,Department of Labor(12),BLS - Consumer Price Index (CPI) Maintenance,1377,Maintenance - C&amp;S Database Migration Testing,,,,,,,0,0,0.283,27.53,1.028,0.745,12/06/2012,10:58:30
012-000001055,278,Department of Labor(12),BLS - Consumer Price Index (CPI) Maintenance,1378,Maintenance - Housing Database Migration Testing,,,,,,,0,0,0.227,22.08,1.028,0.801,12/07/2012,12:42:42
012-000001055,278,Department of Labor(12),BLS - Consumer Price Index (CPI) Maintenance,1379,Maintenance - CPI Estimation Subsystem Release 3 Update,,,,,,,0,0,0.387,15.05,2.571,2.184,12/06/2012,10:58:30
012-000005005,418,Department of Labor(12),PBGC - Benefit Calculation and Valuation,582,Benefit Calculation and Valuation,,,,,,,0,0,0.048,0.42,11.408,11.36,28/10/2011,05:09:09
012-000005004,624,Department of Labor(12),PBGC - Risk Management Early Warning / Legal Matter Management,467,Risk Management Early Warning / Legal Matter Management,,,,,,,0,0,-0.032,-1.05,3.049,3.081,27/10/2011,13:18:28
012-000005003,627,Department of Labor(12),PBGC - Participant Services (Benefit Administration),583,Benefit Management Applications (BMA),,,,,,,0,0,0,0,7.3,7.3,27/10/2011,12:32:23
012-000005003,627,Department of Labor(12),PBGC - Participant Services (Benefit Administration),584,Customer Care Applications (CCA),,,,,,,0,0,0,0,3.215,3.215,27/10/2011,12:32:24
012-000005003,627,Department of Labor(12),PBGC - Participant Services (Benefit Administration),585,Case Management System (CMS),,,,,,,0,0,0,0,4.958,4.958,27/10/2011,12:32:25
012-000005003,627,Department of Labor(12),PBGC - Participant Services (Benefit Administration),586,Document Management Systems (DMS),,,,,,,0,0,0,0,1.44,1.44,27/10/2011,12:32:26
012-000005003,627,Department of Labor(12),PBGC - Participant Services (Benefit Administration),587,Benefit Administration Program Management Office (BA PMO),,,,,,,0,0,0,0,0.705,0.705,27/10/2011,12:32:26
012-000005013,628,Department of Labor(12),PBGC - IT Infrastructure,542,Communications,,,,,,,-16,-1.93,0,0,0.878,0.878,27/10/2011,07:04:16
012-000005013,628,Department of Labor(12),PBGC - IT Infrastructure,543,Platforms,,,,,,,-138,-18.9,-4.006,-53.41,7.501,11.507,27/10/2011,07:04:16
012-000005013,628,Department of Labor(12),PBGC - IT Infrastructure,544,Security,,,,,,,-93,-15.32,0,0,0.135,0.135,27/10/2011,07:04:17
012-000005013,628,Department of Labor(12),PBGC - IT Infrastructure,545,Database,,,,,,,0,0,0,0,5.68,5.68,21/09/2011,10:58:48
012-000005013,628,Department of Labor(12),PBGC - IT Infrastructure,546,Infrastructure Planning and Acquisition,,,,,,,0,0,0,0,1.304,1.304,21/09/2011,10:58:48
012-000005000,635,Department of Labor(12),PBGC - Premium Accounting (PA),516,Premium Accounting Processing,,,,,,,-305,-217.86,0.007,1.72,0.406,0.399,27/10/2011,13:04:39
012-000005000,635,Department of Labor(12),PBGC - Premium Accounting (PA),517,E-Filing,,,,,,,0,0,-0.108,-5.99,1.802,1.91,27/10/2011,13:04:39
012-000005000,635,Department of Labor(12),PBGC - Premium Accounting (PA),518,Premium Accounting Processing PPS,,,,,,,0,0,0,0,0.75,0.75,27/10/2011,13:04:39
012-000005001,641,Department of Labor(12),PBGC - Consolidated Financial Systems,514,Trust / FY File Replacement,,,,,,,-55,-7.71,-0.28,-10.62,2.637,2.917,27/10/2011,10:41:52
012-000005001,641,Department of Labor(12),PBGC - Consolidated Financial Systems,515,Revolving Fund Interfaces,,,,,,,-351,-96.16,-0.061,-4.13,1.476,1.537,27/10/2011,10:41:52
012-000003655,838,Department of Labor(12),OASAM - Acquisition Management System (AMS),77,DOL Acquisition Management System (AMS) Development and Implementation,,,,,,,0,0,0,0,7.05,7.05,22/02/2012,14:31:59
012-000003645,839,Department of Labor(12),OASAM - HR Line of Business Shared Service Center (HRLOB SSC),91,HR Line of Business Migration,,,,,,,0,0,0,0,9,9,12/06/2012,10:58:32
012-000003595,844,Department of Labor(12),DOL - IT Infrastructure Modernization (DITIM),233,IT Modernization Change Management Planning,,,,,,,-1,-0.39,0.002,0.36,0.55,0.548,13/04/2012,07:38:25
012-000003595,844,Department of Labor(12),DOL - IT Infrastructure Modernization (DITIM),234,IT Modernization Enterprise Architecture,,,,,,,0,0,0,0,0.2,0.2,23/02/2012,07:04:58
012-000003595,844,Department of Labor(12),DOL - IT Infrastructure Modernization (DITIM),235,Data Center Consolidation Initiative (DCCI),,,,,,,-189,-43.35,0,0,3.9,3.9,13/08/2012,07:12:22
012-000003595,844,Department of Labor(12),DOL - IT Infrastructure Modernization (DITIM),236,Manage Trusted Internet Protocol Services (MTIPS),,,,,,,-2,-0.44,-0.045173,-5.02,0.9,0.945173,12/07/2012,12:42:43
012-000003595,844,Department of Labor(12),DOL - IT Infrastructure Modernization (DITIM),237,Internet Protocol v6 (IPv6),,,,,,,-35,-6.41,-0.111496,-23.77,0.469,0.580496,13/08/2012,07:12:22
012-000003595,844,Department of Labor(12),DOL - IT Infrastructure Modernization (DITIM),238,Email as a Service (EaaS),,,,,,,-367,-80.66,0,0,4.35,4.35,13/08/2012,07:12:23
012-000003595,844,Department of Labor(12),DOL - IT Infrastructure Modernization (DITIM),239,Mobile Computing,,,,,,,-4,-0.88,0,0,1.42,1.42,13/08/2012,07:12:22
012-000003615,1047,Department of Labor(12),OWCP - OWCP Workers' Compensation System,117,Initial Planning for OWCS,,,,,,,0,0,0,0,0.005,0.005,11/08/2012,11:45:28
012-000000007,1128,Department of Labor(12),WHD - Integrated Data Management System (IDMS),2939,IDMS Planning,,,,,,,0,0,0,0,1.5,1.5,28/02/2012,11:35:02
014-000000012,718,Department of State(14),A-LM - Integrated Logistics Management System,1537,Fleet Management Information System,,,,,,,275,37.67,-0.31682,-14.08,2.25,2.56682,30/03/2012,10:48:49
014-000000012,718,Department of State(14),A-LM - Integrated Logistics Management System,1538,ILMS Enhancement Management,,,,,,,0,0,1.081583,14.28,7.573,6.491417,31/08/2012,08:55:19
014-000000012,718,Department of State(14),A-LM - Integrated Logistics Management System,1539,Expendables,,,,,,,28,7.76,-0.067912,-27.16,0.25,0.317912,30/05/2012,05:37:37
014-000000012,718,Department of State(14),A-LM - Integrated Logistics Management System,1540,Overseas Integrated Deployments,,,,,,,0,0,-0.467917,-6.12,7.6439,8.111817,30/03/2012,10:48:49
014-000000012,718,Department of State(14),A-LM - Integrated Logistics Management System,1541,Knowledge Discovery Tool,,,,,,,0,0,0.129094,17.95,0.71912,0.590026,30/03/2012,10:48:49
014-000000014,730,Department of State(14),Travel Manager Program,1674,e-Gov Travel Service (ETS1) DME,,,,,,,-336,-92.31,-0.581029,-21.33,2.7235,3.304529,31/08/2012,09:21:18
014-000000014,730,Department of State(14),Travel Manager Program,1675,Contingency to support the e-Gov Travel Service II (ETS2) initiative,,,,,,,0,0,0.110295,57.04,0.193375,0.08308,31/08/2012,09:21:18
014-000000018,734,Department of State(14),Joint Financial Management System (JFMS),1530,DOS Segment 1 - Incremental Financial System Improvements,,,,,,,-123,-33.79,-0.151611,-2.7,5.607088,5.758699,31/08/2012,09:12:39
014-000000018,734,Department of State(14),Joint Financial Management System (JFMS),1531,DOS Segment 2 - Incremental Financial System Improvements,,,,,,,0,0,-0.075879,-1.85,4.100924,4.176803,31/08/2012,09:12:39
014-000000018,734,Department of State(14),Joint Financial Management System (JFMS),1532,DOS Segment 3 - Planning &amp; Budgeting Systems,,,,,,,-92,-12.6,1.238132,31.75,3.9,2.661868,31/08/2012,09:12:39
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),1568,IPMS Enterprise Services Infrastructure Enhancement,,,,,,,242,33.2,-0.178001,-4.61,3.859752,4.037753,30/04/2012,16:01:05
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),1569,Permanent Change of Station Travel Redesign - Travel Voucher,,,,,,,-1,-0.09,0.878464,32.6,2.694501,1.816037,31/08/2012,09:10:50
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),1570,Permanent Change of Station Travel Redesign - Foreign Service Assignment Bidding,,,,,,,-1,-0.09,0.838534,31.29,2.679558,1.841024,31/05/2012,12:33:21
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),1573,Integrated Worldwide Personnel / Payroll - Overseas Personnel Centralization,,,,,,,-1,-0.1,0.517542,18.44,2.807357,2.289815,31/08/2012,09:10:50
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),1574,GEMS/PS Globalization - Locally Employed Staff Payroll Integration,,,,,,,0,0,0.18,60.94,0.29535,0.11535,30/04/2012,16:01:05
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),1576,IPMS Operations & Maintenance - FY 2013,,,,,,,0,0,0,0,0.441553,0.441553,31/08/2012,09:10:50
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),3127,GEMS/PS Globalization - Post Personnel Integration,,,,,,,-1,-0.28,0,0,0.446307,0.446307,30/04/2012,16:01:05
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),3167,IPMS Alternatives & HRLoB SSC Analysis,,,,,,,-1,-0.28,-1.00E-06,0,1.147145,1.147146,29/06/2012,12:51:10
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),3169,New Hire Process Automation,,,,,,,-1,-0.09,0.136914,7.91,1.731528,1.594614,31/08/2012,09:10:50
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),3171,Executive Agency Personnel Support Suite - Locally Employed Staff Application Expansion,,,,,,,0,0,1.011565,28.33,3.570413,2.558848,31/08/2012,09:10:50
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),3173,IPMS Operations & Maintenance - FY 2012,,,,,,,0,0,0,0,22.830001,22.830001,31/05/2012,12:33:21
014-000000024,736,Department of State(14),Integrated Personnel Management System (IPMS),3175,IPMS Enterprise Arch - ESOC West Infrastructure,,,,,,,-1,-0.14,0,0,1.509035,1.509035,31/08/2012,09:10:50
014-000000029,742,Department of State(14),Global Foreign Affairs Compensation System (GFACS),1638,GFACS Payroll,,,,,,,0,0,-1.964864,-5.03,39.074,41.038864,31/08/2012,09:09:03
014-000000029,742,Department of State(14),Global Foreign Affairs Compensation System (GFACS),1639,GFACS T&A,,,,,,,0,0,0.207272,1.59,13.025,12.817728,30/11/2011,14:04:25
014-000000329,743,Department of State(14),Foreign Assistance Coordination and Tracking System (FACTS),1562,FY11 FACTS Info Development,,,,,,,0,0,-0.139001,-7.83,1.774887,1.913888,30/11/2011,12:29:37
014-000000329,743,Department of State(14),Foreign Assistance Coordination and Tracking System (FACTS),1563,FY11 PEPFAR Module Development,,,,,,,0,0,0.053832,4.88,1.103251,1.049419,30/11/2011,12:29:38
014-000000329,743,Department of State(14),Foreign Assistance Coordination and Tracking System (FACTS),1564,FY12 FACTS Info Development,,,,,,,0,0,0,0,2.209471,2.209471,28/02/2012,14:03:55
014-000000329,743,Department of State(14),Foreign Assistance Coordination and Tracking System (FACTS),1565,FY12 PEPFAR Module Development,,,,,,,-1,-0.3,0,0,1.458727,1.458727,23/12/2011,08:46:31
014-000000019,744,Department of State(14),Electronic Medical Record (EMR),2942,EHR,,,,,,,0,0,0,0,7.16,7.16,31/08/2012,09:03:42
014-000000039,1130,Department of State(14),Application Services,2951,DoSSS (Sharepoint),,,,,,,0,0,-0.035455,-0.5,7.162065,7.19752,31/08/2012,08:56:53
014-000000039,1130,Department of State(14),Application Services,2952,Post Administrative Software Suite (PASS),,,,,,,0,0,0,0,8.938828,8.938828,30/05/2012,12:13:56
014-000000039,1130,Department of State(14),Application Services,2953,Data Management,,,,,,,0,0,0,0,3.092999,3.092999,30/05/2012,12:13:56
014-000000039,1130,Department of State(14),Application Services,2954,eCountry Clearance,,,,,,,8,2.14,0,0,0.7525,0.7525,31/08/2012,08:56:53
014-000000039,1130,Department of State(14),Application Services,2955,Enterprise Application Integration (EAI),,,,,,,0,0,0,0,2.0936,2.0936,30/03/2012,10:38:00
014-000000039,1130,Department of State(14),Application Services,2956,Enterprise Data Warehouse (EDW),,,,,,,0,0,-1.68486,-82.83,2.03414,3.719,31/08/2012,08:56:53
014-000000026,1131,Department of State(14),Data Center Services and Hosting,2957,ESOC,,,,,,,0,0,0,0,35.602873,35.602873,30/03/2012,09:40:06
014-000000026,1131,Department of State(14),Data Center Services and Hosting,2958,Compensation Support,,,,,,,0,0,0,0,6.63,6.63,30/03/2012,09:40:06
014-000000026,1131,Department of State(14),Data Center Services and Hosting,2959,BEC,,,,,,,0,0,0,0,1.607,1.607,30/05/2012,05:43:48
014-000000026,1131,Department of State(14),Data Center Services and Hosting,2960,Systems Integration Office (SIO),,,,,,,0,0,0,0,1.02,1.02,30/05/2012,05:43:48
014-000000032,1132,Department of State(14),Consular Systems Modernization,2964,Pre-IVO-Technology (piVot),,,,,,,0,0,-0.050892,-2.65,1.921221,1.972113,31/08/2012,08:58:36
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2965,Contingency INMARSAT Refresh,,,,,,,0,0,0,0,5.461,5.461,31/08/2012,09:02:02
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2966,Global IT Modernization PMA,,,,,,,0,0,0,0,98.339,98.339,31/08/2012,09:02:02
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2967,Digital Services,,,,,,,0,0,0,0,1.522,1.522,31/08/2012,09:02:03
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2968,IT Installations (LWS/ITL),,,,,,,0,0,0,0,1.701,1.701,31/08/2012,09:02:03
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2969,New Embassy Compound Moves,,,,,,,0,0,0,0,1.491,1.491,31/08/2012,09:02:03
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2970,Ops Center Telephone Bridge,,,,,,,0,0,0,0,1.122,1.122,31/08/2012,09:02:03
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2971,Post Telephones,,,,,,,0,0,0,0,8.104,8.104,31/08/2012,09:02:03
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2972,Video Collaboration,,,,,,,0,0,0,0,2.978,2.978,31/08/2012,09:02:03
014-000000044,1133,Department of State(14),"Deployment, Maintenance, and Refresh Services",2973,Voice Technology,,,,,,,0,0,0,0,23.363,23.363,31/08/2012,09:02:03
014-000000034,1134,Department of State(14),Legacy Consular Systems,2974,American Citizens Services,,,,,,,0,0,-0.194591,-3.14,6.2,6.394591,31/08/2012,09:14:25
014-000000034,1134,Department of State(14),Legacy Consular Systems,2975,Travel Document Systems Support,,,,,,,0,0,3.570842,27.47,13,9.429158,31/08/2012,09:14:25
014-000000034,1134,Department of State(14),Legacy Consular Systems,2976,Administrative and Management Systems Support  (AMS),,,,,,,0,0,0.090965,1.6,5.7,5.609035,31/08/2012,09:14:25
014-000000034,1134,Department of State(14),Legacy Consular Systems,2977,"Business Intelligence, Analytics and Reporting",,,,,,,0,0,6.392494,52.4,12.2,5.807506,31/08/2012,09:14:25
